date,feedback,rating,category,product
2024-01-15,서비스가 정말 좋습니다. 직원분들이 친절하시고 빠르게 해결해주셨어요.,5,서비스,제품A
2024-01-16,배송이 너무 느려서 불만입니다. 다음에는 더 빨리 배송해주세요.,2,배송,제품B
2024-01-17,제품 품질은 만족스럽지만 가격이 조금 비싸네요.,3,가격,제품A
2024-01-18,고객센터 응답이 빠르고 친절해서 감사합니다.,5,서비스,제품C
2024-01-19,웹사이트가 복잡해서 주문하기 어려웠습니다.,2,기타,제품B
2024-01-20,제품이 예상보다 훨씬 좋아서 만족합니다.,5,품질,제품A
2024-01-21,배송 과정에서 제품이 손상되었습니다.,1,배송,제품C
2024-01-22,할인 혜택이 많아서 좋았습니다.,4,가격,제품B
2024-01-23,로그인이 자꾸 안되어서 불편했습니다.,2,기타,제품A
2024-01-24,상품 설명이 자세해서 구매 결정에 도움이 되었습니다.,4,품질,제품C
2024-01-25,포장이 깔끔하고 안전하게 도착했습니다.,5,배송,제품A
2024-01-26,고객센터 전화 연결이 어려웠습니다.,2,서비스,제품B
2024-01-27,제품 사용법이 간단해서 좋았습니다.,4,품질,제품C
2024-01-28,배송비가 너무 비싸네요.,2,가격,제품A
2024-01-29,빠른 배송과 정확한 상품 설명에 만족합니다.,5,배송,제품B
2024-01-30,제품이 생각보다 작아서 실망했습니다.,2,품질,제품C
2024-02-01,친절한 상담으로 문제를 해결해주셨습니다.,5,서비스,제품A
2024-02-02,웹사이트 속도가 너무 느려서 답답했습니다.,1,기타,제품B
2024-02-03,가격 대비 품질이 훌륭합니다.,5,가격,제품C
2024-02-04,배송 추적이 정확해서 좋았습니다.,4,배송,제품A
2024-02-05,제품 설명과 실제 제품이 달랐습니다.,2,품질,제품B
2024-02-06,고객센터 직원이 전문적이었습니다.,5,서비스,제품C
2024-02-07,할인 쿠폰 사용이 복잡했습니다.,3,가격,제품A
2024-02-08,빠른 처리와 정확한 배송에 감사합니다.,5,배송,제품B
2024-02-09,제품 품질에 비해 가격이 적절합니다.,4,가격,제품C
2024-02-10,웹사이트 오류로 주문이 안되었습니다.,1,기타,제품A
2024-02-11,친절한 안내로 쉽게 주문할 수 있었습니다.,5,서비스,제품B
2024-02-12,제품이 예상보다 빨리 도착했습니다.,5,배송,제품C
2024-02-13,가격이 합리적이고 품질도 좋습니다.,5,가격,제품A
2024-02-14,제품 사용 후 만족스러운 결과를 얻었습니다.,4,품질,제품B
2024-02-15,고객센터 응답이 늦어서 불편했습니다.,2,서비스,제품C
2024-02-16,배송 과정에서 연락이 잘 안되었습니다.,2,배송,제품A
2024-02-17,제품 설명이 부족해서 아쉬웠습니다.,3,품질,제품B
2024-02-18,할인 혜택이 많아서 경제적입니다.,4,가격,제품C
2024-02-19,웹사이트가 직관적이어서 좋았습니다.,4,기타,제품A
2024-02-20,빠른 배송과 안전한 포장에 만족합니다.,5,배송,제품B
2024-02-21,제품 품질이 우수하고 가격도 합리적입니다.,5,품질,제품C
2024-02-22,고객센터 상담이 도움이 되었습니다.,4,서비스,제품A
2024-02-23,배송 지연으로 인해 불편했습니다.,2,배송,제품B
2024-02-24,제품이 예상과 달라서 실망했습니다.,2,품질,제품C
2024-02-25,가격 대비 만족스러운 품질입니다.,4,가격,제품A
2024-02-26,친절한 서비스와 빠른 처리가 좋았습니다.,5,서비스,제품B
2024-02-27,웹사이트 오류로 인해 주문이 지연되었습니다.,2,기타,제품C
2024-02-28,제품 포장이 깔끔하고 안전했습니다.,5,배송,제품A
2024-02-29,제품 품질에 만족하고 재구매 의사가 있습니다.,5,품질,제품B
2024-03-01,고객센터 응답이 신속하고 정확했습니다.,5,서비스,제품C
2024-03-02,배송비가 부담스럽습니다.,3,가격,제품A
2024-03-03,제품이 생각보다 크고 무거웠습니다.,3,품질,제품B
2024-03-04,빠른 배송과 정확한 상품에 감사합니다.,5,배송,제품C
2024-03-05,웹사이트가 사용하기 편리합니다.,4,기타,제품A
2024-03-06,제품 품질이 우수하고 가격도 적절합니다.,5,가격,제품B
2024-03-07,고객센터 직원이 친절하고 전문적입니다.,5,서비스,제품C
2024-03-08,배송 과정에서 문제가 있었습니다.,2,배송,제품A
2024-03-09,제품 설명이 자세하고 이해하기 쉽습니다.,4,품질,제품B
2024-03-10,할인 혜택이 많아서 좋았습니다.,4,가격,제품C
2024-03-11,웹사이트 속도가 빨라서 좋았습니다.,4,기타,제품A
2024-03-12,제품이 예상보다 빨리 도착했습니다.,5,배송,제품B
2024-03-13,고객센터 상담이 도움이 되었습니다.,4,서비스,제품C
2024-03-14,제품 품질에 만족하고 가격도 합리적입니다.,5,품질,제품A
2024-03-15,배송 추적이 정확해서 안심이 됩니다.,5,배송,제품B
2024-03-16,가격 대비 품질이 훌륭합니다.,5,가격,제품C
2024-03-17,웹사이트가 직관적이고 사용하기 쉽습니다.,4,기타,제품A
2024-03-18,제품 포장이 안전하고 깔끔했습니다.,5,배송,제품B
2024-03-19,고객센터 응답이 빠르고 정확했습니다.,5,서비스,제품C
2024-03-20,제품이 예상과 달라서 아쉬웠습니다.,3,품질,제품A
2024-03-21,할인 쿠폰 사용이 간편했습니다.,4,가격,제품B
2024-03-22,빠른 처리와 친절한 서비스에 감사합니다.,5,서비스,제품C
2024-03-23,배송 과정에서 연락이 잘 되었습니다.,4,배송,제품A
2024-03-24,제품 품질이 우수하고 만족스럽습니다.,5,품질,제품B
2024-03-25,웹사이트 오류로 인해 불편했습니다.,2,기타,제품C
2024-03-26,가격이 합리적이고 품질도 좋습니다.,5,가격,제품A
2024-03-27,제품이 생각보다 빨리 도착했습니다.,5,배송,제품B
2024-03-28,고객센터 상담이 전문적이었습니다.,5,서비스,제품C
2024-03-29,제품 설명이 부족해서 아쉬웠습니다.,3,품질,제품A
2024-03-30,할인 혜택이 많아서 경제적입니다.,4,가격,제품B
2024-03-31,웹사이트가 사용하기 편리하고 직관적입니다.,4,기타,제품C
2024-04-01,제품 포장이 깔끔하고 안전했습니다.,5,배송,제품A
2024-04-02,제품 품질에 만족하고 재구매 의사가 있습니다.,5,품질,제품B
2024-04-03,고객센터 응답이 신속하고 정확했습니다.,5,서비스,제품C
2024-04-04,배송비가 부담스럽지만 품질은 좋습니다.,3,가격,제품A
2024-04-05,제품이 생각보다 크고 무거웠습니다.,3,품질,제품B
2024-04-06,빠른 배송과 정확한 상품에 감사합니다.,5,배송,제품C
2024-04-07,웹사이트가 사용하기 편리합니다.,4,기타,제품A
2024-04-08,제품 품질이 우수하고 가격도 적절합니다.,5,가격,제품B
2024-04-09,고객센터 직원이 친절하고 전문적입니다.,5,서비스,제품C
2024-04-10,배송 과정에서 문제가 있었습니다.,2,배송,제품A
2024-04-11,제품 설명이 자세하고 이해하기 쉽습니다.,4,품질,제품B
2024-04-12,할인 혜택이 많아서 좋았습니다.,4,가격,제품C
2024-04-13,웹사이트 속도가 빨라서 좋았습니다.,4,기타,제품A
2024-04-14,제품이 예상보다 빨리 도착했습니다.,5,배송,제품B
2024-04-15,고객센터 상담이 도움이 되었습니다.,4,서비스,제품C
2024-04-16,제품 품질에 만족하고 가격도 합리적입니다.,5,품질,제품A
2024-04-17,배송 추적이 정확해서 안심이 됩니다.,5,배송,제품B
2024-04-18,가격 대비 품질이 훌륭합니다.,5,가격,제품C
2024-04-19,웹사이트가 직관적이고 사용하기 쉽습니다.,4,기타,제품A
2024-04-20,제품 포장이 안전하고 깔끔했습니다.,5,배송,제품B
2024-04-21,고객센터 응답이 빠르고 정확했습니다.,5,서비스,제품C
2024-04-22,제품이 예상과 달라서 아쉬웠습니다.,3,품질,제품A
2024-04-23,할인 쿠폰 사용이 간편했습니다.,4,가격,제품B
2024-04-24,빠른 처리와 친절한 서비스에 감사합니다.,5,서비스,제품C
2024-04-25,배송 과정에서 연락이 잘 되었습니다.,4,배송,제품A
2024-04-26,제품 품질이 우수하고 만족스럽습니다.,5,품질,제품B
2024-04-27,웹사이트 오류로 인해 불편했습니다.,2,기타,제품C
2024-04-28,가격이 합리적이고 품질도 좋습니다.,5,가격,제품A
2024-04-29,제품이 생각보다 빨리 도착했습니다.,5,배송,제품B
2024-04-30,고객센터 상담이 전문적이었습니다.,5,서비스,제품C
2024-05-01,제품 설명이 부족해서 아쉬웠습니다.,3,품질,제품A
2024-05-02,할인 혜택이 많아서 경제적입니다.,4,가격,제품B
2024-05-03,웹사이트가 사용하기 편리하고 직관적입니다.,4,기타,제품C
2024-05-04,제품 포장이 깔끔하고 안전했습니다.,5,배송,제품A
2024-05-05,제품 품질에 만족하고 재구매 의사가 있습니다.,5,품질,제품B
2024-05-06,고객센터 응답이 신속하고 정확했습니다.,5,서비스,제품C
2024-05-07,배송비가 부담스럽지만 품질은 좋습니다.,3,가격,제품A
2024-05-08,제품이 생각보다 크고 무거웠습니다.,3,품질,제품B
2024-05-09,빠른 배송과 정확한 상품에 감사합니다.,5,배송,제품C
2024-05-10,웹사이트가 사용하기 편리합니다.,4,기타,제품A
2024-05-11,제품 품질이 우수하고 가격도 적절합니다.,5,가격,제품B
2024-05-12,고객센터 직원이 친절하고 전문적입니다.,5,서비스,제품C
2024-05-13,배송 과정에서 문제가 있었습니다.,2,배송,제품A
2024-05-14,제품 설명이 자세하고 이해하기 쉽습니다.,4,품질,제품B
2024-05-15,할인 혜택이 많아서 좋았습니다.,4,가격,제품C
2024-05-16,웹사이트 속도가 빨라서 좋았습니다.,4,기타,제품A
2024-05-17,제품이 예상보다 빨리 도착했습니다.,5,배송,제품B
2024-05-18,고객센터 상담이 도움이 되었습니다.,4,서비스,제품C
2024-05-19,제품 품질에 만족하고 가격도 합리적입니다.,5,품질,제품A
2024-05-20,배송 추적이 정확해서 안심이 됩니다.,5,배송,제품B
2024-05-21,가격 대비 품질이 훌륭합니다.,5,가격,제품C
2024-05-22,웹사이트가 직관적이고 사용하기 쉽습니다.,4,기타,제품A
2024-05-23,제품 포장이 안전하고 깔끔했습니다.,5,배송,제품B
2024-05-24,고객센터 응답이 빠르고 정확했습니다.,5,서비스,제품C
2024-05-25,제품이 예상과 달라서 아쉬웠습니다.,3,품질,제품A
2024-05-26,할인 쿠폰 사용이 간편했습니다.,4,가격,제품B
2024-05-27,빠른 처리와 친절한 서비스에 감사합니다.,5,서비스,제품C
2024-05-28,배송 과정에서 연락이 잘 되었습니다.,4,배송,제품A
2024-05-29,제품 품질이 우수하고 만족스럽습니다.,5,품질,제품B
2024-05-30,웹사이트 오류로 인해 불편했습니다.,2,기타,제품C
2024-05-31,가격이 합리적이고 품질도 좋습니다.,5,가격,제품A
